x_value,total_1,total_2
0,1000,1000
1,997,1005
2,1000,1010
3,1006,1011
4,1004,1013
5,1010,1014
6,1007,1013
7,1013,1016
8,1015,1014
9,1018,1013
10,1024,1013
11,1027,1017
12,1027,1013
13,1021,1012
14,1017,1009
15,1015,1013
16,1016,1010
17,1023,1009
18,1027,1004
19,1027,999
20,1027,1001
21,1030,999
22,1026,997
23,1032,992
24,1035,989
25,1043,986
26,1045,988
27,1039,985
28,1034,988
29,1028,994
30,1033,994
31,1029,992
32,1028,987
33,1035,985
34,1033,989
35,1033,989
36,1034,987
37,1038,990
38,1034,986
39,1028,985
40,1032,981
41,1030,983
42,1034,989
43,1041,991
44,1046,986
